Language	Kyrgyz	Kazakh	Turkish	Azerbaijani	Turkmen	Uzbek	Uyghur	Kumyk	Karachay-Balkar	Tatar	Bashqort	Chuvash	Sakha	Halaj	Khakas	Tuvan	Altay	Shor	Fu-yü Gyrgys	Yughur	Salar	Crimean Tatar	Karakalpak	Karaim	Tofa	Gagauz	Dolgan	Ili Turkic	Urum	Siberian Tatar	Chulym	Northern Altay	Southern Uzbek	Southern Azerbaijani
ISO 639-3	kir	kaz	tur	aze	tuk	uzb	uig	kum	krc	tat	bak	chv	sah	klj	kjh	tyv	alt	cjs	—	ybe	slr	crh	kaa	kdr	kim	gag	dlg	ili	uum	sty	clw	atv	uzs	azb
lat,lon	41.5,75.2	47.8,67.8	39.0,32.7	39.8,47.9	39.0,59.0	39.6,66.3	43,88.5	43.0,47.2	43.6,43	55.79,49.1	54.7,56	55.6,46.9	63.5,129.5	34.1,49.7	53.72,90.5	51.7,94.4	50.8,86.55	54,87	47.79,124.46	38.8,99.6	36,103	45.1,34	43.1,59.4	54.64,24.93	54,97.1	46.3,28.7	71.9,102	43.67,81.9	47.6,37.5	57.4,73	57.31,88.16	51.9,87.2		
I	men	miɘn	bæn	mæn	men	men	mæn	men	men	min	min	epɘ	min	mæn	min	men	men	men	min	men	meːn		miɘn	men	men	ben	min	men	men					
You	sen	siɘn	sæn	sæn	θen	sen	sæn	sen	sen	sin	hin	esɘ	en		sin	sen	sen	sen	sin	sen	seːn		siɘn	sɯn	sen	sæn	en	sen	sen					
We	biz	bɘz	biz	biz	bið	bɨz	bɨz	biz	miz	bɘz	bɘð	epir	bihigi	biz	pɘs	bis	bis	pis	bɯs	pɯz	piser		bɘz	biz	bis	bis	bihigi	biz	biz					
One	bir	bɘr	bir	bir	bir	bɨr	bɨr	bir	bir	bɘr	bɘr	pɘr	biːr	bi	pɘr	bir	bir	pir	bɯr	bɨr	pər	bir	bɘr	bir	bir	bir	biːr	bir	bir					
Two	eki	iɘkɘ	iki	iki	iki	ɨkkɨ	ɨkkɨ	eki	eki	ikɘ	ikɘ	ikkɘ	ikki	ækki	ɘkɘ	ĩji	eki	igi	igi	ʃigɨ	iʃkə	eki	iɘkɘ	ekɨ	ĩxi	iki	ikki	ekki	eki					
Person	kiʃi	kɘsɘ	kiʃi	kiʃi	kiʃi	kɨʃɨ	kɨʃɨ	kiʃi	kiʃi	kɘʃɘ	kɘʃɘ	ɕɨn	kihi		kɘzɘ	kiʒi	kiʒi	kiʒi	gɯʤi	kisi	kiʃi	ɑdɑm	kɘsɘ	kiʃi	kiʃi	kiʃi	kihi	kiʃi	kiʃi					
Fish	bɑɫɯq	bɑɫəq	bɑɫɯk	bɑɫɯɢ	bɑːɫɯq	balɨq	belɨq	bɑɫɯq	bɑɫɯq	bɒɫəq	bɑɫəq	puɫə	bɑɫɯk		pɑlɯx	bɑɫɯq	bɑɫɯq	pɑɫɯq	bɑlɯχ		bɑɫuχ	bɑɫɯq	bɑɫəq	bɑɫɯx	bɑɫɯq	bɑɫɯq	bɑɫɯk	bɑɫɯq	bɑɫɯχ					
Dog	it	ɘjt	kœpæk	kœpæk	kœpek	ɨt	ɨt		it	ɘt	ɘt	jɨtə	ɯt	it	ɑdɑj	ɯt	ijt		it	ɯʃt	iʃt	it	ɘjt	kœpe	ɯɯ́t	kœpek	ɯt		kœpek					
Louse	bit	bɘjt	bit	bit	bit	bɨt	pɨt	bit	bit	bɘt	bɘt	pɨjtə	bɯt	bit	pɘt	bɯt	bijt	pit	bit	bɨʃt	biʃt	bit	bɘjt	bit	bɯɯ́t	bit			bit					
